IDCIUDAD,NOMBRE,IDDPTO
11001,Bogotá D.C.,11
76111,Guadalajara de Buga,76
5001,Medellín,5
5360,Itagüí,5
13001,Cartagena de Indias,13
41001,Neiva,41
76520,Palmira,76
50001,Villavicencio,50
5615,Rionegro,5
76001,Cali,76
66170,Dosquebradas,66
54001,Cúcuta,54
17001,Manizales,17
25769,Subachoque,25
25754,Soacha,25
8001,Barranquilla,8
68276,Floridablanca,68
63001,Armenia,63
66001,Pereira,66
25126,Cajicá,25
73001,Ibagué,73
68001,Bucaramanga,68
19001,Popayán,19
17877,Viterbo,17
25035,Anapoima,25
5380,La Estrella,5
5266,Envigado,5
47001,Santa Marta,47
25175,Chía,25
25430,Madrid,25
54874,Villa del Rosario,54
76147,Cartago,76
76892,Yumbo,76
5318,Guarne,5
5088,Bello,5
63130,Calarcá,63
20001,Valledupar,20
17380,La Dorada,17
17174,Chinchiná,17
88001,San Andrés,88
85001,Yopal,85
5321,Guatapé,5
25214,Cota,25
5631,Sabaneta,5
17873,Villamaría,17
76828,Trujillo,76
25513,Pacho,25
5607,Retiro,5
5045,Apartadó,5
5120,Cáceres,5
52356,Ipiales,52
54405,Los Patios,54
25473,Mosquera,25
76400,La Unión,76
25290,Fusagasugá,25
25377,La Calera,25
25875,Villeta,25
41524,Palermo,41
76670,San Pedro,76
76126,Calima,76
25286,Funza,25
76834,Tuluá,76
8758,Soledad,8
76250,El Dovio,76
15686,Santana,15
5284,Frontino,5
15001,Tunja,15
25817,Tocancipá,25
8573,Puerto Colombia,8
23660,Sahagún,23
52001,Pasto,52
8558,Polonuevo,8
25873,Villapinzón,25
5467,Montebello,5
63470,Montenegro,63
5686,Santa Rosa de Osos,5
13836,Turbaco,13
70001,Sincelejo,70
5376,La Ceja,5
5652,San Francisco,5
23001,Montería,23
15500,Oicatá,15
13052,Arjona,13
25758,Sopó,25
47189,Ciénaga,47
52835,San Andrés de Tumaco,52
44001,Riohacha,44
25899,Zipaquirá,25
54553,Puerto Santander,54
15816,Togüí,15
52227,Cumbal,52
76845,Ulloa,76
19698,Santander de Quilichao,19
63272,Filandia,63
63190,Circasia,63
17042,Anserma,17
5237,Donmatías,5
5129,Caldas,5
25181,Choachí,25
5197,Cocorná,5
76318,Guacarí,76
25799,Tenjo,25
76109,Buenaventura,76
50006,Acacías,50
68081,Barrancabermeja,68
25662,San Juan de Rioseco,25
5038,Angostura,5
19300,Guachené,19
8560,Ponedera,8
8685,Santo Tomás,8
8296,Galapa,8
23189,Ciénaga de Oro,23
66682,Santa Rosa de Cabal,66
63401,La Tebaida,63
19455,Miranda,19
76364,Jamundí,76
5212,Copacabana,5
15798,Tenza,15
76306,Ginebra,76
76036,Andalucía,76
15299,Garagoa,15
15696,Santa Sofía,15
25269,Facatativá,25
52210,Contadero,52
52399,La Unión,52
52233,Cumbitara,52
54498,Ocaña,54
68190,Cimitarra,68
68207,Concepción,68
68229,Curití,68
73268,Espinal,73
15757,Socha,15
