IDPAIS,NOMBRE
1,ITALIA
2,ESPAÑA
3,COLOMBIA
4,ESTADOS UNIDOS
5,ECUADOR
6,FRANCIA
7,TURQUÍA
8,ALEMANIA
9,BRASIL
10,CROACIA
11,PANAMA
12,JAMAICA
13,GRECIA
14,MEXICO
15,GUATEMALA
16,REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE
17,REPÚBLICA DOMINICANA
18,ANTILLAS NEERLANDESAS
19,PUERTO RICO
20,CHILE
21,CANADA
22,COSTA RICA
23,VENEZUELA
24,EGIPTO
25,CUBA
26,EMIRATOS ARABES UNIDOS
27,BÉLGICA
28,ARGENTINA
29,MARRUECOS
30,ARUBA
31,SUIZA
32,ISRAEL
33,PERU
34,ARABIA SAUDITA
35,AUSTRALIA
36,HONDURAS
37,IRLANDA
38,KENYA
39,URUGUAY
40,SUECIA
41,CURAZAO
42,NICARAGUA
43,PORTUGAL
44,REPÚBLICA ÁRABE SIRIA
